state,year,policy,bill_no,description,status,adopted,date_passed,branch,author,party,topic_area,direction,source,notes,coder,adoption_bin,direction1
MO,2023,student_sport_retribution,SB165,"allows parents to sue for ""harm"" if school doesn't segregate sports",2,0,-99,legislative,Jill Carter,GOP,sports,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive
MO,2023,school_accom_restriction,SB165,all schoool facilities like locker rooms must be segregated by biological sex,2,0,-99,legislative,Jill Carter,GOP,education,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive
MO,2023,parental_rights_guidance,HB634,requirement to notify parents of student health (not explicit in text but appears to be related to gender given subsequent text,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive
MO,2023,forced_outing,HB634,requirement to notify parents of student health (not explicit in text but appears to be related to gender given subsequent text,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive
MO,2023,discussion_ban,HB634,bans instruction related to sexual orientation or gender identity,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive
MO,2023,care_ban_minor,HB916,bans GAC for minors,2,0,-99,legislative,Cyndi Buchheit-Courtway,GOP,healthcare,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive
MO,2023,liability_extension,HB916,allows those who received GAC to sue providers for up to 20 years after,2,0,-99,legislative,Cyndi Buchheit-Courtway,GOP,healthcare,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive
MO,2023,drag_restriction,SB429,defines drag performances as sexual and classifies wtih caberet,2,0,-99,legislative,Jill Carter,GOP,public presence,restricting,https://legiscan.com/MO/text/SB429/id/2631203,companion bill HB498,Scott,0,restrictive
MO,2023,drag_restriction,HB494,"defines drag as appealing to ""prurient interests"", blocks performance in front of minors",2,0,-99,legislative,Ben Baker,GOP,public presence,restricting,https://legiscan.com/MO/sponsors/HB494/2023,,Scott,0,restrictive
MO,2023,public_trans_ban,HB494,written in such a way that could be interpreted as trans ban. Says anyone performing that is dressed in a gender no corresponding to biological sex as appealing to prurient interests,2,0,-99,legislative,Ben Baker,GOP,public presence,restricting,https://legiscan.com/MO/sponsors/HB494/2023,,Scott,0,restrictive
MO,2023,discussion_ban,SB134,bans classroom discussion on gender or sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive
MO,2023,parental_rights_general,SB135,parents can sue school for damages if school district violates restrictions on discussion of gender/sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive
MO,2023,parental_rights_general,SB136,parents can sue school for damages if school district violates restrictions on discussion of gender/sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive
MO,2023,forced_outing,SB137,requires school to notify parents within 24 horus if student indicates they want to go by a different pronoun than assigned at birth,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive
MO,2023,parental_rights_transition,SB138,school offiicals cannot refer to students by preffered pronouns unless they get parental permission,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive
MO,2023,sports_ban,SB87,bans participation in women's sports for anyone who was not biologically female,2,0,-99,legislative,Ben Brown,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB87/2023,,Scott,0,restrictive
MO,2023,marriage_ban,SB258,"defines ""covenant marraige"" as between one man and one woman",2,0,-99,legislative,Mike Moon,GOP,families,restricting,https://legiscan.com/MO/bill/SB258/2023,companion bill HB732,Scott,0,restrictive
MO,2023,discussion_ban,SB497,bans discussion of gender identity in sex ed or discussions of gender identity,2,0,-99,legislative,William Eigel,GOP,education,restricting,https://legiscan.com/MO/text/SB598/id/2684043,,Scott,0,restrictive
MO,2023,name_pronoun_restriction,HB192,"""teacher bill of rights"" protects teachers ability to not have to use pronouns that aren't a students assigned gender at birth",2,0,-99,legislative,Ed Lewis,GOP,education,restricting,https://legiscan.com/MO/sponsors/HB192/2023,,Scott,0,restrictive
MO,2023,care_ban_minor,SB49,bans GAC for minors,3,1,45084,legislative,Mike Moon,GOP,healthcare,restricting,https://legiscan.com/MO/text/SB49/id/2810419,there are 4 other house and senate bills that are earlier versions of this,Scott,1,restrictive
MO,2023,liability_extension,SB49,allows those who received GAC to sue providers for up to 20 years after,3,1,45084,legislative,Mike Moon,GOP,healthcare,restricting,https://legiscan.com/MO/text/SB49/id/2810419,,Scott,1,restrictive
MO,2023,lgbt_descrim_protect,SB60,probhibits discrimination on basis of sexual orientation or gender,2,0,-99,legislative,Greg Razer,Dem,descrimination,expanding,https://legiscan.com/MO/bill/SB60/2023,,Scott,0,expansive
AL,2023,parental_rights_general,HB6,general affirmation that parents have fundamental parental rights to control the upbringing and education of their child,3,0,-99,legislative,"Paschal, Kenneth; Wood, Debbie; Carns, Jim; Stringer, Shane",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB6-enr.pdf,enrolled and sent to governor,Margot,0,restrictive
AL,2023,divisive_content_ban,HB7,"bans the teaching of divisive content in schools.  devisive content is defined as teaching that any race, sex, etc. is inherently oppressive, bigoted, biased, etc.  the bill does not explicitly mention lgbt+ individuals.",2,0,-99,legislative,"Oliver, Ed; Stadthagen, Scott; Marques, Rhett; Brown, Chip; Robertson, Chad; Fidler, Jennifer; Kiel, Jamie; Lipscomb, Craig; Garrett, Danny; Hulsey, Leigh; Wadsworth, Tim; Underwood, Bubba; Woods, Matt; Colvin, Brock; Kitchens, Wes; Yarbrough, Ernie; Lomax, James; Cole, Davivd; Stringer, Shane; Wood, Debbie; Hurst, Steve; DuBose, Susan; Barfoot, Will; Elliott, Chris; Roberts, Dan; Chambliss, Dan; Kelley, Keith; Carnley, Josh; Hovey, Jay; Sessions, David; Stutts, Larry; Bell, Lance; Albritton, Greg; Melson, Tim; Scofield, Clay; Weaver, April; Allen, Gerald; Butler, Tom; Orr, Arthur; Chesteen, Donnie; Shelnutt, Shay; Livingston, Steve; Gudger, Garlan",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB7-int.pdf,bill is indefinately posponed in house.  senate twin bill SB257 adds some language regarding american values but is otherwise identical: https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/SB247-int.pdf,Margot,0,restrictive
AL,2023,sports_ban,HB261,requires that institutions of higher education not allow individuals to compete on sports teams that do not align with their agab.  provides remedies for students who are harmed by the participation of trans athletes,3,0,-99,legislative,"DuBose, Susan; Fidler, Jennifer; Givens, Donna; Holk-Jones, Francis; Hulsey, Leigh; Collins, Terri; Shaver, Ginny; Stadthagen, Scott; Kiel, Jamie; Moore, Parker; Bedsole, Russell; Harrison, Ben; Butler, Mack; Hammett, Matthew; Robertson, Chad; Lipscomb, Craig; Shedd, Randall; Yarbrough, Ernie; Wood, Debbie; Wilcox, Margie; Lamb, Bill; Shirey, Mark; Kitchens, Wes; Bolton, Ron; Marques, Rhett; Estes, Tracy; Sorrells, Jeff; Mooney, Arnold; Pettus, Phillip; Easterbrook, Brett; Hurst, Steve; Stringer, Shane; Oliver, Ed; Brown, Chip; Shaw, Mike; Gidley, Mark; Underwood, Bubba; Kirkland, Mike; Rehm, Rick; Garrett, Danny; Weaver, April",GOP,sports,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB261-int.pdf,"HB261 passed house, amended version passed senate.  Text of SB211 is identical: https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/SB211-int.pdf",Margot,0,restrictive
AL,2023,parental_rights_general,HB295,affirms that parents have fundamental parental rights to direct the upbringing and religion of their cihld,2,0,-99,legislative,"Yarbrough, Ernie; Harrison, Ben; DuBose, Susan; Butler, Mack",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB295-int.pdf,,Margot,0,restrictive
AL,2023,religous_school_choice,HB295,requires that public funds for private school attendance do not discriminate against religious schools for religious beliefs,2,0,-99,legislative,"Yarbrough, Ernie; Harrison, Ben; DuBose, Susan; Butler, Mack",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB295-int.pdf,,Margot,0,restrictive
AL,2023,forced_outing,HB354,"requires that schools inform parents of changes in student ""well-being"" (perhaps including lgbt identity).",2,0,-99,legislative,"Butler, Mack; Stadthagan, Scott; Gidley, Mark; Lamb, Bill; Shirey, Mark; Lipscomb, Craig; Givens, Donna; Sells, Chris; Mooney, Arnold; Bolton, Ron",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB354-int.pdf,builds on 2022 dont say gay bill that banned lgbt topics in K-5,Margot,0,restrictive
AL,2023,parental_rights_transition,HB354,requires parental consent for school health services.,2,0,-99,legislative,"Butler, Mack; Stadthagan, Scott; Gidley, Mark; Lamb, Bill; Shirey, Mark; Lipscomb, Craig; Givens, Donna; Sells, Chris; Mooney, Arnold; Bolton, Ron",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB354-int.pdf,builds on 2022 dont say gay bill that banned lgbt topics in K-5,Margot,0,restrictive
AL,2023,discussion_restriction,HB354,"prohibits classroom discussion on lgbt topics in grades K-8 that are not ""age-appropriate"" as defined by the state",2,0,-99,legislative,"Butler, Mack; Stadthagan, Scott; Gidley, Mark; Lamb, Bill; Shirey, Mark; Lipscomb, Craig; Givens, Donna; Sells, Chris; Mooney, Arnold; Bolton, Ron",GOP,education,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB354-int.pdf,builds on 2022 dont say gay bill that banned lgbt topics in K-5,Margot,0,restrictive
AL,2023,drag_restriction,HB401,"defines drag as ""sexual conduct"" and bans it at schools and public locations where minors may be present",2,0,-99,legislative,"Mooney, Arnold; Kiel, Jamie; Stadthagen, Scott; Butler, Mack; Carns, Jim; Sells, Chris",GOP,public_presence,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB401-int.pdf,,Margot,0,restrictive
AL,2023,public_trans_ban,HB401,"defines ""male or female impersonators"" as ""sexual conduct"", and bans them at schools and public locations where minors may be present.  the text of the bill notes that these impersonators are commonly called drag queens and kings, but does not differentiate them from transgender individuals.",2,0,-99,legislative,"Mooney, Arnold; Kiel, Jamie; Stadthagen, Scott; Butler, Mack; Carns, Jim; Sells, Chris",GOP,public_presence,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB401-int.pdf,,Margot,0,restrictive
AL,2023,legal_recognition_negative,HB405,"defines words such as man, woman, boy, girl, female, and male as strictly referencing gametes.  eliminates legal recognition of transgender people's gender identity",2,0,-99,legislative,"DuBose, Susan; Mooney, Arnold; Robertson, Chad; Hammett, Matthew; Stadthagen, Scott; Butler, Mack; Harrison, Ben; Hulsey, Leigh; Yarborough, Ernie; Sellers, Patrick; Shaw, Mike; Shaver, Ginny; Ingram, Reed; Baker, Alan; Lamb, Bill; Gidley, Mark; Givens, Donna; Fidler, Jennifer; Standridge, David; Sells, Chris; Oliver, Ed; Hurst, Steve; Woods, Matt",GOP,legal_recognition,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB405-int.pdf,,Margot,0,restrictive
AL,2023,anti_esg,SB261,"prohibits public contracts with companies that engage in economic boycotts of other comapnies in certain situations, such as when other companies refuse to fascilitate access to gender affirming care",2,0,-99,legislative,"Roberts, Dan; Orr, Arthur; Allen, Gerald; Livingston, Steve; Stutts, Larry; Shelnutt, Shay; Sessions, David",GOP,economics,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/SB261-int.pdf,,Margot,0,restrictive
,,,,,,,,,,,,,,,Margot,,
AR,2023,school_accom_restriction,HB1156,requires that students at public schools use bathrooms and locker rooms that align with their agab.  provides single-person restrooms as an alternative,3,1,45006,legislative,"Bentley, Mary; Brown, Karilyn; Crawford, Cindy; Hodges, DeAnna; Ladyman, Jack; Long, Wayne; Lundstrum, Robin; McAlindon, Mindy; Miller, Josh; Rose, Ryan; Tosh, Dwight; Barker, Sonia Eubanks; Sullivan, Dan",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1156&ddBienniumSession=2023%2F2023R&Search=,"amendments did not change fundmental nature of bill, passed as Act 317",Margot,1,restrictive
AR,2023,care_restriction,HB1305,limits the ability of minors to consent to medical treatment,1,0,-99,legislative,"Haak, Delia; Lundstrum, Robin",GOP,medical,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1305&ddBienniumSession=2023%2F2023R&Search=,,Margot,0,restrictive
AR,2023,parental_rights_transition,HB1468,prevents educators at schools public institutions of higher education from using non-birth certificate name/prounouns without parental consent,3,1,45027,legislative,"Long, Wayne; Richmond, Marcus; Bentley, Mary; Breaux, Harlan; Carr, Joey; Crawford, Cindy; Lundstrum, Robin; McAlindon, Mindy; McClure, Rick; Milligan, Jon; Rose, Ryan; Rye, Johnny; Johnson, Mark",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1468&ddBienniumSession=2023%2F2023R&Search=,,Margot,1,restrictive
AR,2023,name_pronoun_restriction,HB1468,prevents public schools or institutions of higher education from requiring students or faculty to use a trans students preferred name/pronouns if they do not match those on the trans student's birth certificate.,3,1,45027,legislative,"Long, Wayne; Richmond, Marcus; Bentley, Mary; Breaux, Harlan; Carr, Joey; Crawford, Cindy; Lundstrum, Robin; McAlindon, Mindy; McClure, Rick; Milligan, Jon; Rose, Ryan; Rye, Johnny; Johnson, Mark",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1468&ddBienniumSession=2023%2F2023R&Search=,,Margot,1,restrictive
AR,2023,name_change_neutral,HB1473,amends procedures for name changes,3,1,45006,legislative,"Dalby, Carol; Irvin, Missy",GOP,legal_recognition,neutral,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1473&ddBienniumSession=2023%2F2023R&Search=,,Margot,1,neutral
AR,2023,divisive_content_ban,HB1559,bans implicit bias trainings in schools,3,1,45026,legislative,"McAlindon, Mindy; Hammer, Kim",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1559&ddBienniumSession=2023%2F2023R&Search=,,Margot,1,restrictive
AR,2023,religious_lib,HB1615,"expands religious freedom laws, prevents ""discrimination"" based on sincere religous beliefs (illegal to discriminate against someone for their sincere belief that marraige is between a man and a woman).",3,1,45028,legislative,"Lundstrum, Robin; Bentley, Mary; Cooper, Cameron; Crawford, Cindy; Gazaway, Jimmy; Long, Wayne; Milligan, Jon; Richmond, Marcus E.; Underwood, Kendon; Unger, Steve; Watson, Danny; Stubblefield, Gary; Clark, Alan",GOP,discrimination,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1615&ddBienniumSession=2023%2F2023R&Search=,,Margot,1,restrictive
AR,2023,forced_outing,HB1738,requires schools to inform parents of change to student well-being (may include lgbt+ identity).,1,0,-99,legislative,"McAlindon, Mindy; Stubblefield, Gary",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1738&ddBienniumSession=2023%2F2023R&Search=,,Margot,0,restrictive
AR,2023,parental_rights_discussion,HB1738,requires parental consent for all material taught in classrooms.,1,0,-99,legislative,"McAlindon, Mindy; Stubblefield, Gary",GOP,education,restricting,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1738&ddBienniumSession=2023%2F2023R&Search=,,Margot,0,restrictive
