state,year,policy,bill_no,description,status,adopted,date_passed,branch,author,party,topic_area,direction,source,notes,coder,adoption_bin,direction1,topic1
MO,2023,sports_restriction,SB165,"allows parents to sue for ""harm"" if school doesn't segregate sports",2,0,-99,legislative,Jill Carter,GOP,sports,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive,Sports
MO,2023,student_sport_retribution,SB165,"allows parents to sue for ""harm"" if school doesn't segregate sports",2,0,-99,legislative,Jill Carter,GOP,sports,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive,Sports
MO,2023,school_accom_restriction,SB165,all schoool facilities like locker rooms must be segregated by biological sex,2,0,-99,legislative,Jill Carter,GOP,education,restricting,https://twitter.com/JZPhilosophy/status/1699865939536126427,,Scott,0,restrictive,Education
MO,2023,parental_rights_guidance,HB634,requirement to notify parents of student health (not explicit in text but appears to be related to gender given subsequent text,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive,Education
MO,2023,forced_outing,HB634,requirement to notify parents of student health (not explicit in text but appears to be related to gender given subsequent text,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive,Education
MO,2023,discussion_ban,HB634,bans instruction related to sexual orientation or gender identity,2,0,-99,legislative,Ann Kelley,GOP,education,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive,Education
MO,2023,care_ban_minor,HB916,bans GAC for minors,2,0,-99,legislative,Cyndi Buchheit-Courtway,GOP,medical,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive,Health
MO,2023,liability_extension,HB916,allows those who received GAC to sue providers for up to 20 years after,2,0,-99,legislative,Cyndi Buchheit-Courtway,GOP,medical,restricting,https://legiscan.com/MO/text/HB634/id/2623624,,Scott,0,restrictive,Health
MO,2023,drag_restriction,SB429,defines drag performances as sexual and classifies wtih caberet,2,0,-99,legislative,Jill Carter,GOP,public presence,restricting,https://legiscan.com/MO/text/SB429/id/2631203,companion bill HB498,Scott,0,restrictive,Public_Precence
MO,2023,drag_restriction,HB494,"defines drag as appealing to ""prurient interests"", blocks performance in front of minors",2,0,-99,legislative,Ben Baker,GOP,public presence,restricting,https://legiscan.com/MO/sponsors/HB494/2023,,Scott,0,restrictive,Public_Precence
MO,2023,public_trans_ban,HB494,written in such a way that could be interpreted as trans ban. Says anyone performing that is dressed in a gender no corresponding to biological sex as appealing to prurient interests,2,0,-99,legislative,Ben Baker,GOP,public presence,restricting,https://legiscan.com/MO/sponsors/HB494/2023,,Scott,0,restrictive,Public_Precence
MO,2023,discussion_ban,SB134,bans classroom discussion on gender or sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive,Education
MO,2023,parental_rights_general,SB135,parents can sue school for damages if school district violates restrictions on discussion of gender/sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive,Education
MO,2023,parental_rights_general,SB136,parents can sue school for damages if school district violates restrictions on discussion of gender/sexual orientation,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive,Education
MO,2023,forced_outing,SB137,requires school to notify parents within 24 horus if student indicates they want to go by a different pronoun than assigned at birth,2,0,-99,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,0,restrictive,Education
MO,2023,parental_rights_transition,SB138,school offiicals cannot refer to students by preffered pronouns unless they get parental permission,3,1,1688601600,legislative,Mike Moon,GOP,education,restricting,https://legiscan.com/MO/sponsors/SB134/2023,,Scott,1,restrictive,Education
MO,2023,sports_ban,SB87,bans participation in women's sports for anyone who was not biologically female,2,0,-99,legislative,Ben Brown,GOP,sports,restricting,https://legiscan.com/MO/sponsors/SB87/2023,,Scott,0,restrictive,Sports
MO,2023,marriage_ban,SB258,"defines ""covenant marraige"" as between one man and one woman",2,0,-99,legislative,Mike Moon,GOP,families,restricting,https://legiscan.com/MO/bill/SB258/2023,companion bill HB732,Scott,0,restrictive,Family
MO,2023,discussion_ban,SB497,bans discussion of gender identity in sex ed or discussions of gender identity,2,0,-99,legislative,William Eigel,GOP,education,restricting,https://legiscan.com/MO/text/SB598/id/2684043,,Scott,0,restrictive,Education
MO,2023,name_pronoun_restriction,HB192,"""teacher bill of rights"" protects teachers ability to not have to use pronouns that aren't a students assigned gender at birth",2,0,-99,legislative,Ed Lewis,GOP,education,restricting,https://legiscan.com/MO/sponsors/HB192/2023,,Scott,0,restrictive,Education
MO,2023,care_ban_minor,SB49,bans GAC for minors,3,1,1686096000,legislative,Mike Moon,GOP,medical,restricting,https://legiscan.com/MO/text/SB49/id/2810419,there are 4 other house and senate bills that are earlier versions of this,Scott,1,restrictive,Health
MO,2023,liability_extension,SB49,allows those who received GAC to sue providers for up to 20 years after,3,1,1686096000,legislative,Mike Moon,GOP,medical,restricting,https://legiscan.com/MO/text/SB49/id/2810419,,Scott,1,restrictive,Health
MO,2023,lgbt_discrim_protect,SB60,probhibits discrimination on basis of sexual orientation or gender,2,0,-99,legislative,Greg Razer,Dem,discrimination,expanding,https://legiscan.com/MO/bill/SB60/2023,,Scott,0,expansive,Discrimination
CT,2023,lgbt_discrim_protect,HB6638,adds sexual orientation to protected classes,3,1,1687478400,legislative,House Judiciary Committee,Bipartisan,discrimination,expanding,https://legiscan.com/CT/text/HB06638/id/2691643,,Scott,1,expansive,Discrimination
CT,2023,nonbinary_recognition,SB544,adds non-binary option to all government forms from state agencies,2,0,-99,legislative,Sarah Keitte,Dem,legal recognition,expanding,https://legiscan.com/CT/sponsors/HB06866/2023,,Scott,0,expansive,Legal
CT,2023,legal_recognition_negative,HB6866,prohibits use of nonbinary marker on birth certificates,1,0,-99,legislative,Robert Sampson,GOP,legal recognition,restricting,https://legiscan.com/CT/text/SB00544/id/2644616,,Scott,0,restrictive,Legal
CT,2023,sports_ban,HB06213,prohibits those assigned male at birth from participating in women's sports,1,0,-99,legislative,Douglass Dubitsky,GOP,sports,restricting,https://legiscan.com/CT/text/HB06213/id/2652727,,Scott,0,restrictive,Sports
CT,2023,privacy_individual,SB00003,adds privacy protection for data about gender identity and information about gender affirming healthcare to,3,1,1687737600,legislative,House Judiciary Committee,Bipartisan,safety,expanding,https://legiscan.com/CT/sponsors/SB00003/2023,,Scott,1,expansive,Safety
NJ,2023,lgbt_youth,S585/A1418,provides voucher for students nonpublic education in objective of learning material/activites are harmful to student,2,0,-99,Legislative,"Testa, Michael; Oroho Steven; Auth, Robert",Republican,Education,restrictive,https://www.njleg.state.nj.us/bill-search/2022/S585.       https://www.njleg.state.nj.us/bill-search/2022/A1418,,Scott,0,restrictive,Education
NJ,2023,sports_ban,S589,requiring athletics do particpate in activities based on biological sex (female vs. male),2,0,-99,Legislative,"Testa, Michael; Holzapfel, James",Republican,Sports,restricting,https://www.njleg.state.nj.us/bill-search/2022/S589,,Scott,0,restrictive,Sports
NJ,2023,sports_ban,A1630,requiring athletics do particpate in activities based on biological sex (female vs. male),2,0,-99,Legislative,"McGuckin, Gregory; Catalano, John",Republican,Sports,restricting,https://www.njleg.state.nj.us/bill-search/2022/A1630,,Scott,0,restrictive,Sports
NJ,2023,care_ban_minor,S3076,prohibits indivduals under 18 to have gender transition procedures,2,0,-99,Legislative,"Durr, Edward",Republican,medical,restricting,https://www.njleg.state.nj.us/bill-search/2022/S3076,,Scott,0,restrictive,Health
NJ,2023,lgbt_discrim_protect,S1168,prohibits discrimination in health care,2,0,-99,Legislative,Joseph vitale,DEM,medical,expanding,https://legiscan.com/NJ/sponsors/S1168/2022,,Scott,0,expansive,Health
NJ,2023,lgbt_discrim_protect,S1168,prohibits discrimination in employment based on porivision of health bneefits plans,2,0,-99,Legislative,Pamela Lampitt,DEM,medial,expanding,https://legiscan.com/NJ/sponsors/A1807/2022,,Scott,0,expansive,Health
NJ,2023,privacy_individual,A1171,enhances protections around sexual oreintation and gender identity when filling out forms,2,0,-99,legislative,Mila Jasey and Ellen Park,DEM,safety,expanding,https://legiscan.com/NJ/text/A1171/id/2474433,,Scott,0,expansive,Safety
NJ,2023,nonbinary_recognition,A1171,requires inclusion of option to fill out non-binary for gender on forms,2,0,-99,legislative,Mila Jasey and Ellen Park,DEM,safety,expanding,https://legiscan.com/NJ/text/A1171/id/2474433,companion senate bill S1606,Scott,0,expansive,Safety
NJ,2023,religious_lib,A2638,allows for religious exemptions for clergy and religious organizations concerning same-sex marriages,2,0,-99,legislative,Ronald Dancer,GOP,discrimination,restricting,https://legiscan.com/NJ/text/A2638/id/2518363,,Scott,0,restrictive,Discrimination
NJ,2023,discussion_ban,A4042,prohibits discussion of sexual orientation or gender Id through grade 5,2,0,-99,legislative,Erik Peterson,GOP,Education,restricting,https://legiscan.com/NJ/sponsors/A4042/2022,,Scott,0,restrictive,Education
NJ,2023,intersex_surgery_ban_minor,S1098,limits procedures for children born with variations in sex characteristics,2,0,-99,legislative,Joseph Vitale and Andrew Zwicker,DEM,medical,expansive,https://legiscan.com/NJ/text/S1098/id/2499704,,Scott,0,expansive,Health
NJ,2023,inclusive_practices,S1075,"if an agency surveys demogrpahs, requires them to also collect info on sexual orientation and gener id",2,0,-99,legislative,Joseph Vitale,DEM,other,expansive,https://legiscan.com/NJ/sponsors/S1075/2022,,Scott,0,expansive,Other
NJ,2023,lgbt_discrim_protect,A1846,prohibits unfair discimination in life insurance based on gender id,2,0,-99,legislative,Ellen Park,DEM,discrimination,expansive,https://legiscan.com/NJ/sponsors/A1846/2022,,Scott,0,expansive,Discrimination
NJ,2023,lgbt_discrim_protect,S2559,codifies workplace anti-harrassment and discimination policy that includes gender id and orientation,2,0,-99,legislative,Nia Gill,DEM,discrimination,expansive,https://legiscan.com/NJ/sponsors/S2559/2022,,Scott,0,expansive,Discrimination
NJ,2023,lgbt_discrim_protect,A1751,prohibits juror disqualificaiton based on gener id or orientation,2,0,-99,legislative,John McKeon,DEM,discrimination,expansive,https://legiscan.com/NJ/sponsors/S2559/2022,,Scott,0,expansive,Discrimination
NJ,2023,parental_rights_general,A4386,creates parents bill of rights,2,0,-99,legislative,Christian Barranco,GOP,Education,resstricting,https://legiscan.com/NJ/text/A4386/id/2599020,,Scott,0,resstricting,Education
NJ,2023,conversion_therapy_restriction,S358,prohibits attempts by mental health professionals to change sexual orientation of adults,2,0,-99,legislative,Nia Gill,DEM,medical,expansive,https://legiscan.com/NJ/text/S358/id/2474383,,Scott,0,expansive,Health
NJ,2023,prison_sentence_allow,A3209,Requires DOC to assign transgender inmate to State correctional facility based on inmate's gender identity and use inmate's preferred gender pronoun.,2,0,-99,legislative,Shanique Speight,DEM,Public Presence,expansive,https://legiscan.com/NJ/bill/A3209/2022,,Scott,0,expansive,Public_Precence
NJ,2023,lgbt_discrim_protect,A4109,prohibits discrimination against transgender individuals in schools,2,0,-99,legislative,Mila Jasey and Ellen Park,DEM,Education,expansive,https://legiscan.com/NJ/text/A4109/id/2592924,,Scott,0,expansive,Education
NJ,2023,inclusive_practices,A4385,requires training for medical staff on cultural competency to collect sensitive data such as gender id and sexual orientation,3,1,1688083200,legislative,Herbert Conaway,DEM,medical,expansive,https://legiscan.com/NJ/sponsors/A4385/2022,,Scott,1,expansive,Health
VT,2023,sports_ban,H513,prohibits male those born as males from participating in women's sports in elementary and secondary school,2,0,-99,Legislative,Arthur Peterson; Larry Labor; Terri Williams; Charles Wilson,GOP,Sports,restricting,https://legislature.vermont.gov/bill/status/2024/H.513,,Scott,0,restrictive,Sports
VT,2023,sports_ban,H513,prohibits male those born as males from participating in women's sports in elementary and secondary school,2,0,-99,Legislative,Arthur Peterson; Larry Labor; Terri Williams; Charles Wilson,GOP,Sports,restricting,https://legislature.vermont.gov/bill/status/2024/H.513,,Scott,0,restrictive,Sports
VT,2023,lgbt_discrim_protect,S0103,adds sexual orientation and gender identity to prohibitions against discrimination,3,1,1687910400,Legislative,Kesha Hinsdale,DEM,discrimination,expansive,https://legiscan.com/VT/text/S0103/id/2832169,,Scott,1,expansive,Discrimination
VT,2023,deny_healthcare_beliefs,H183,allows for conscience opt out for health care providers,2,0,-99,Legislative,Mark Higley,GOP,medical,restricting,https://legiscan.com/VT/text/H0183/id/2683055,,Scott,0,restrictive,Health
AL,2023,sports_ban,HB261,requires that institutions of higher education not allow individuals to compete on sports teams that do not align with their agab,3,1,1684972800,legislative,"DuBose, Susan; Fidler, Jennifer; Givens, Donna; Holk-Jones, Francis; Hulsey, Leigh; Collins, Terri; Shaver, Ginny; Stadthagen, Scott; Kiel, Jamie; Moore, Parker; Bedsole, Russell; Harrison, Ben; Butler, Mack; Hammett, Matthew; Robertson, Chad; Lipscomb, Craig; Shedd, Randall; Yarbrough, Ernie; Wood, Debbie; Wilcox, Margie; Lamb, Bill; Shirey, Mark; Kitchens, Wes; Bolton, Ron; Marques, Rhett; Estes, Tracy; Sorrells, Jeff; Mooney, Arnold; Pettus, Phillip; Easterbrook, Brett; Hurst, Steve; Stringer, Shane; Oliver, Ed; Brown, Chip; Shaw, Mike; Gidley, Mark; Underwood, Bubba; Kirkland, Mike; Rehm, Rick; Garrett, Danny; Weaver, April",GOP,sports,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB261-int.pdf,Identical to SB211.,Margot,1,restrictive,Sports
AL,2023,student_sport_retribution,HB261,provides remedies for students who are harmed by the participation of trans athletes,3,1,1684972800,legislative,"DuBose, Susan; Fidler, Jennifer; Givens, Donna; Holk-Jones, Francis; Hulsey, Leigh; Collins, Terri; Shaver, Ginny; Stadthagen, Scott; Kiel, Jamie; Moore, Parker; Bedsole, Russell; Harrison, Ben; Butler, Mack; Hammett, Matthew; Robertson, Chad; Lipscomb, Craig; Shedd, Randall; Yarbrough, Ernie; Wood, Debbie; Wilcox, Margie; Lamb, Bill; Shirey, Mark; Kitchens, Wes; Bolton, Ron; Marques, Rhett; Estes, Tracy; Sorrells, Jeff; Mooney, Arnold; Pettus, Phillip; Easterbrook, Brett; Hurst, Steve; Stringer, Shane; Oliver, Ed; Brown, Chip; Shaw, Mike; Gidley, Mark; Underwood, Bubba; Kirkland, Mike; Rehm, Rick; Garrett, Danny; Weaver, April",GOP,sports,restricting,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/HB261-int.pdf,Identical to SB211.,Margot,1,restrictive,Sports
